Production Date,CODE,Green Coffee Name,TEL NAME,Origin,Producer,Process,Elevation,Region,Variety,Tasting Notes,Tags,2Lb Filter Wholesale Price,2Lb Espresso Wholesale Price,8oz Filter Wholesale Price,8oz Espresso Wholesale Price,8oz Filter Retail Price,8oz Espresso Retail Price,8oz Retail WITH BOX Price,40gr Jar WITH BOX Price,40gr Jar Normal Price,100 grams Price
nan,D78,Esmeralda Noria 3,Hacienda La Esmeralda Noria #3,Panama,Hacienda La Esmeralda,Natural,1850,Boquete,Geisha,"Strawberry,  Pinot Noir, Melon & Rose Hips.",Signature,nan,nan,445.0,445.0,nan,nan,522.5,142.5,117.5,nan
nan,D79,Esmeralda Nido 2,Hacienda La Esmeralda Nido 2,Panama,Hacienda La Esmeralda,Natural,1850,Boquete,Geisha,"Bergamot, Coffee Blossom, Mango & Plum.",Signature,nan,nan,800.0,800.0,nan,nan,883.5,228.0,203.0,nan
nan,D80,Esmeralda Nido 3,Hacienda La Esmeralda Nido 3,Panama,Hacienda La Esmeralda,Natural,1850,Boquete,Geisha,"Yuzu, White Grape, Melon & Valencia Orange.",Signature,nan,nan,800.0,800.0,nan,nan,883.5,228.0,203.0,nan
